sut,workload,task_id,metric,value
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1,runtime,124.52412680784862
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1,success,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1,llm_code_eval,"""[true, false, false, false, true, true, true]"""
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1,total_token_usage_pipeline,1741
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-1,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-1,f1,0.19501625135427952
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-1,precision,0.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-1,recall,0.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-2,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-2,f1,0.058013052936910794
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-2,precision,0.15
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-2,recall,0.6
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-3,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-3,f1,0.0006642311524410494
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-3,precision,0.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-3,recall,0.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-4,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-4,f1,0.05624262405634753
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-4,precision,0.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-4,recall,0.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-4,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-5,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-5,f1,0.04642166344294004
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-5,precision,0.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-5,recall,0.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-6,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-6,f1,0.07912836808922884
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-6,precision,0.05
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-6,recall,0.00014164305949008498
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-7,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-7,success,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-1-7,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2,runtime,18.120925943056744
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2,success,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2,llm_code_eval,"""[false, false, false, false, true, true]"""
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2,total_token_usage_pipeline,1064
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-1,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-1,f1,0.2869469248520116
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-1,precision,0.23529411764705882
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-1,recall,0.6666666666666666
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-1,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-2,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-2,f1,0.03519061583577713
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-2,precision,0.05
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-2,recall,0.2
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-2,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-3,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-3,f1,0.06885035969416581
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-3,precision,0.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-3,recall,0.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-3,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-4,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-4,f1,0.08097488458986328
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-4,precision,0.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-4,recall,0.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-4,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-5,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-5,f1,0.023993239189431036
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-5,precision,0.05
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-5,recall,0.00011961722488038278
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-5,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-6,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-6,success,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-hard-2-6,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3,runtime,21.916088859240215
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3,success,1
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3,llm_code_eval,"""[true, true, true, true]"""
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3,total_token_usage_pipeline,899
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3-1,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3-1,f1,0.5818181818181819
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3-1,precision,0.6
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3-1,recall,1.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3-2,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3-2,f1,0.04674457429048415
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3-2,precision,1.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3-2,recall,1.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3-3,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3-3,f1,0.03206997084548105
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3-3,precision,1.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3-3,recall,1.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3-3,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3-4,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3-4,success,1
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-3-4,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4,runtime,67.16859940687816
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4,success,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4,llm_code_eval,"""[false, false, false]"""
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4,total_token_usage_pipeline,1502
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4-1,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4-1,success,1
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4-1,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4-2,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4-2,f1,0.058013052936910794
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4-2,precision,0.15
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4-2,recall,0.6
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4-2,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4-3,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4-3,f1,0.8
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4-3,precision,1.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4-3,recall,1.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4-3,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4-4,runtime,0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4-4,f1,0.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4-4,precision,0.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4-4,recall,0.0
BaselineLLMSystemClaude35FewShot,archeology.json,archeology-easy-4-4,total_token_usage_answers,0
