sut,workload,task_id,metric,value
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1,runtime,32.27631598711014
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1,success,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1,llm_code_eval,"""[true, false, false, true, true]"""
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1,total_token_usage_pipeline,1216
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1-1,runtime,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1-1,success,1
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1-2,runtime,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1-2,f1,0.15081967213114755
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1-2,precision,0.4166666666666667
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1-2,recall,1.0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1-3,runtime,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1-3,f1_approximate,0.0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1-4,runtime,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1-4,f1_approximate,0.0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1-5,runtime,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1-5,success,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2,runtime,23.339747965335846
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2,success,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2,llm_code_eval,"""[true, true, true, true]"""
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2,total_token_usage_pipeline,1195
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2-1,runtime,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2-1,f1,0.30124635375232034
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2-1,precision,0.8
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2-1,recall,1.0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2-2,runtime,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2-2,success,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2-3,runtime,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2-3,success,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2-4,runtime,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2-4,success,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-3,runtime,187.69572693109512
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-3,success,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-3,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-3,llm_code_eval,"""[true, false, true, false, true]"""
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-3,total_token_usage_pipeline,1426
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-3-1,runtime,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-3-1,success,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-3-2,runtime,0
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-3-2,f1,0.16995716470482397
BaselineLLMSystemClaude35FewShot,astronomy.json,astronomy-easy-3-2,precision,0.0
