sut,workload,task_id,metric,value
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1,runtime,20.95261985063553
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1,success,1
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1,llm_code_eval,"""[true, true, true, true]"""
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1,total_token_usage_pipeline,929
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1-1,runtime,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1-1,bleu,1.0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1-1,rouge,1.0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1-1,llm_paraphrase,1
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1-1,total_token_usage_answers,492
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1-2,runtime,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1-2,success,1
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1-3,runtime,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1-3,success,1
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1-4,runtime,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1-4,success,1
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2,runtime,23.69716912508011
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2,f1,0.07999999999999999
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2,precision,0.0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2,recall,0.0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2,llm_code_eval,"""[true, true, true, true, true, true, true]"""
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2,total_token_usage_pipeline,1124
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-1,runtime,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-1,f1,0.08743169398907102
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-1,precision,0.9821428571428571
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-1,recall,1.0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-2,runtime,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-2,success,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-3,runtime,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-3,success,1
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-4,runtime,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-4,f1_approximate,0.0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-5,runtime,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-5,f1,0.2155688622754491
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-5,precision,0.25
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-5,recall,1.0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-5,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-6,runtime,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-6,success,1
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-6,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-7,runtime,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-7,f1,0.26014760147601473
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-7,precision,0.4
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-7,recall,0.5
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-2-7,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,environment.json,environment-easy-3,runtime,63.26504522562027
