sut,workload,task_id,metric,value
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1,runtime,0.7589700063069661
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1,success,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1,llm_code_eval,"""[false, false, false, false, false, false, false, false]"""
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1,total_token_usage_pipeline,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-1,runtime,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-1,success,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-2,runtime,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-2,success,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-3,runtime,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-3,success,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-4,runtime,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-4,f1_approximate,0.0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-4,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-5,runtime,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-5,f1,0.5511942951717375
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-5,precision,0.0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-5,recall,0.0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-6,runtime,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-6,success,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-7,runtime,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-7,success,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-7,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-8,runtime,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-8,success,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-1-8,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2,runtime,0.31664870580037435
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2,bleu,1.717427964450093e-78
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2,rouge,0.0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2,llm_paraphrase,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2,total_token_usage_answers,496
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2,llm_code_eval,"""[false, false, false, false, false, false, false, false, false]"""
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2,total_token_usage_pipeline,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-1,runtime,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-1,f1,0.43886697741125846
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-1,precision,0.2857142857142857
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-1,recall,0.5
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-1,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-2,runtime,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-2,bleu,0.029576713358858427
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-2,rouge,0.0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-2,llm_paraphrase,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-2,total_token_usage_answers,527
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-3,runtime,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-3,success,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-3,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-4,runtime,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-4,f1,0.5606796116504854
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-4,precision,0.0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-4,recall,0.0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-4,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-5,runtime,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-5,f1_approximate,0.0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-5,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-6,runtime,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-6,f1,0.5511942951717375
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-6,precision,0.0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-6,recall,0.0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-6,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-7,runtime,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-7,success,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-7,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-8,runtime,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-8,f1,0.07323866490114607
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-8,precision,0.0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-8,recall,0.0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-8,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,legal.json,legal-hard-2-9,runtime,0
