sut,workload,task_id,metric,value
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1,runtime,38.757552930286955
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1,success,0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1,llm_code_eval,"""[false, true, false, true, true]"""
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1,total_token_usage_pipeline,1585
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-1,runtime,0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-1,success,0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-2,runtime,0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-2,f1,0.03446308341892046
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-2,precision,0.0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-2,recall,0.0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-3,runtime,0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-3,f1,0.04560260586319218
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-3,precision,0.0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-3,recall,0.0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-4,runtime,0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-4,f1,0.058169494212779456
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-4,precision,0.0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-4,recall,0.0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-5,runtime,0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-5,success,0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-2,runtime,59.380830832890105
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-2,success,0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-2,total_token_usage_answers,0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-2,llm_code_eval,"""[true, true, false, false, true, false]"""
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-2,total_token_usage_pipeline,1358
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-2-1,runtime,0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-2-1,f1,0.1874310915104741
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-2-1,precision,0.0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-2-1,recall,0.0
BaselineLLMSystemClaude35FewShot,wildfire.json,wildfire-easy-2-1,total_token_usage_answers,0
