sut,workload,task_id,metric,value
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1,runtime,26.176661094029743
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1,success,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1,llm_code_eval,"""[true, false, false, false, true, false, true]"""
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1,total_token_usage_pipeline,1589
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-1,runtime,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-1,f1,0.626848691695108
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-1,precision,0.0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-1,recall,0.0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-2,runtime,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-2,f1,0.05869405722670581
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-2,precision,0.15
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-2,recall,0.6
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-3,runtime,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-3,f1,0.009101744501029364
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-3,precision,0.13137254901960785
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-3,recall,0.07790697674418605
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-4,runtime,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-4,f1,0.08195272630461349
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-4,precision,0.0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-4,recall,0.0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-4,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-5,runtime,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-5,f1,0.04696673189823875
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-5,precision,0.0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-5,recall,0.0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-6,runtime,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-6,f1,0.08003306607663187
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-6,precision,0.05
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-6,recall,0.00014164305949008498
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-7,runtime,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-7,success,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-1-7,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-2,runtime,20.363494714101154
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-2,success,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,archeology.json,archeology-hard-2,llm_code_eval,"""[false, false, false, false, false, true]"""
