sut,workload,task_id,metric,value
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1,runtime,23.947563529014587
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1,success,0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1,llm_code_eval,"""[false, false, false]"""
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1,total_token_usage_pipeline,1161
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1-1,runtime,0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1-1,success,0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1-2,runtime,0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1-2,f1,0.3026315789473684
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1-2,precision,1.0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1-2,recall,1.0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1-3,runtime,0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1-3,f1_approximate,0.0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1-4,runtime,0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1-4,f1_approximate,0.0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1-5,runtime,0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1-5,success,0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-2,runtime,21.366018891334534
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-2,success,0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-2,llm_code_eval,"""[true, false, true, true]"""
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-2,total_token_usage_pipeline,1076
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-2-1,runtime,0
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-2-1,f1,0.364
BaselineLLMSystemClaude35Naive,astronomy.json,astronomy-easy-2-1,precision,0.0
