sut,workload,task_id,metric,value
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1,runtime,22.96709704399109
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1,success,0
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1,llm_code_eval,"""[false, false, true, true, false]"""
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1,total_token_usage_pipeline,1248
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-1,runtime,0
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-1,f1,0.12379023182534324
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-1,precision,0.15
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-1,recall,0.25
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-2,runtime,0
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-2,f1,0.08
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-2,precision,0.0
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-2,recall,0.0
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-3,runtime,0
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-3,f1,0.08118628359592216
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-3,precision,0.15
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-3,recall,0.029411764705882353
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-5,runtime,0
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-5,f1,0.08131791097090782
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-5,precision,0.1
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-5,recall,0.0196078431372549
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-6,runtime,0
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-6,success,0
BaselineLLMSystemClaude35Naive,biomedical.json,biomedical-hard-1-6,total_token_usage_answers,0
