sut,workload,task_id,metric,value
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1,runtime,15.373170065879822
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1,success,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1,llm_code_eval,"""[true, false, false, true]"""
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1,total_token_usage_pipeline,990
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1-1,runtime,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1-1,bleu,1.0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1-1,rouge,1.0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1-1,llm_paraphrase,1
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1-1,total_token_usage_answers,492
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1-2,runtime,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1-2,success,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1-3,runtime,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1-3,success,1
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1-4,runtime,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1-4,success,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2,runtime,21.784379887580872
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2,f1,0.059782608695652176
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2,precision,0.0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2,recall,0.0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2,llm_code_eval,"""[true, true, true, true, false, true, true]"""
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2,total_token_usage_pipeline,1228
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-1,runtime,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-1,f1,0.03404255319148936
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-1,precision,0.4166666666666667
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-1,recall,1.0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-2,runtime,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-2,success,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-3,runtime,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-3,success,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-4,runtime,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-4,f1_approximate,0.0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-5,runtime,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-5,f1,0.08174386920980926
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-5,precision,0.0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-5,recall,0.0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-5,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-6,runtime,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-6,success,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-6,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-7,runtime,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-7,f1,0.05907626208378087
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-7,precision,0.0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-7,recall,0.0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-2-7,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-3,runtime,20.75784080028534
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-3,success,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,environment.json,environment-easy-3,llm_code_eval,"""[true, false, true, true, true]"""
