sut,workload,task_id,metric,value
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1,runtime,20.67127364476522
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1,success,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1,llm_code_eval,"""[false, false, false, true, true, false, true, true]"""
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1,total_token_usage_pipeline,1498
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-1,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-1,success,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-2,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-2,success,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-3,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-3,success,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-4,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-4,f1_approximate,0.0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-4,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-5,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-5,f1,0.24121800792539405
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-5,precision,0.0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-5,recall,0.0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-6,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-6,success,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-7,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-7,success,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-7,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-8,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-8,success,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-1-8,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2,runtime,21.417781766255697
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2,bleu,0.042279297521702994
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2,rouge,0.0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2,llm_paraphrase,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2,total_token_usage_answers,532
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2,llm_code_eval,"""[false, true, false, true, false, true, true, true, true]"""
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2,total_token_usage_pipeline,1650
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-1,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-1,f1,0.43886697741125846
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-1,precision,0.2857142857142857
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-1,recall,0.5
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-2,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-2,bleu,0.06759733075634645
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-2,rouge,0.07692307692307693
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-2,llm_paraphrase,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-2,total_token_usage_answers,520
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-3,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-3,success,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-4,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-4,f1,0.21440424825755064
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-4,precision,0.0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-4,recall,0.0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-4,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-5,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-5,f1_approximate,0.0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-5,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-6,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-6,f1,0.49805268130804514
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-6,precision,0.0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-6,recall,0.0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-6,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-7,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-7,success,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-7,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-8,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-8,f1,0.08262691726074747
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-8,precision,0.0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-8,recall,0.0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-8,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-9,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-9,success,0
BaselineLLMSystemClaude35Naive,legal.json,legal-hard-2-9,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3,runtime,13.546723302205404
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3,mean_absolute_error,
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3,mean_squared_error,
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3,mean_relative_absolute_error,9999.0
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3,rae_score,9999.0
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3,llm_code_eval,"""[false, false, false, true, true]"""
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3,total_token_usage_pipeline,984
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3-1,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3-1,f1,0.3636363636363637
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3-1,precision,0.0
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3-1,recall,0.0
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3-2,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3-2,success,1
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3-3,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3-3,success,0
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3-4,runtime,0
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3-4,f1,0.0598762109795479
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3-4,precision,0.0
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3-4,recall,0.0
BaselineLLMSystemClaude35Naive,legal.json,legal-easy-3-4,total_token_usage_answers,0
