sut,workload,task_id,metric,value
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1,runtime,33.481845481055124
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1,llm_code_eval,"""[false, true, false, true, true]"""
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1,total_token_usage_pipeline,1144
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-1,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-1,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-2,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-2,f1,0.07110754873615206
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-2,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-2,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-3,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-3,f1,0.03634831798760305
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-3,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-3,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-4,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-4,f1,0.07042106362971477
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-4,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-4,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-5,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-5,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2,runtime,92.5420743056706
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2,llm_code_eval,"""[true, true, false, false, false, false]"""
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2,total_token_usage_pipeline,1097
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-1,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-1,f1,0.147887323943662
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-1,precision,0.15789473684210525
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-1,recall,1.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-2,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-2,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-3,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-3,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-4,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-4,f1,0.24378253551998122
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-4,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-4,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-5,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-5,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-5,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-6,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-6,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-2-6,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3,runtime,77.000787121909
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3,f1,0.13797768008116335
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3,llm_code_eval,"""[true, true, false, false, true]"""
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3,total_token_usage_pipeline,1295
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-1,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-1,f1,0.1777777777777778
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-1,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-1,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-2,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-2,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-3,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-3,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-4,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-4,f1,0.2329738151177994
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-4,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-4,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-4,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-5,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-5,f1,0.13640922768304914
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-5,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-5,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-3-5,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4,runtime,29.641661269324167
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4,llm_code_eval,"""[false, true, true, true, true, true]"""
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4,total_token_usage_pipeline,1261
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-1,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-1,f1,0.06349206349206349
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-1,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-1,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-2,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-2,f1,0.0461847389558233
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-2,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-2,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-3,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-3,f1,0.04790419161676647
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-3,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-3,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-4,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-4,f1,0.03770351328191945
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-4,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-4,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-4,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-5,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-5,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-5,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-6,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-6,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-4-6,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5,runtime,22.076271874564036
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5,llm_code_eval,"""[false, false, false, false, false, true, true]"""
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5,total_token_usage_pipeline,1136
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-1,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-1,f1,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-1,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-1,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-2,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-2,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-3,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-3,f1,0.04664433693090188
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-3,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-3,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-4,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-4,f1,0.05897277652060619
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-4,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-4,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-4,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-5,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-5,f1,0.046905537459283386
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-5,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-5,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-5,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-6,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-6,f1,0.03776553894571203
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-6,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-6,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-6,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-7,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-7,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-5-7,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6,runtime,27.05358420099531
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6,mean_absolute_error,
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6,mean_squared_error,
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6,mean_relative_absolute_error,9999.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6,rae_score,9999.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6,llm_code_eval,"""[true, false, true, true, true]"""
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6,total_token_usage_pipeline,1310
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-1,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-1,f1,0.13714285714285715
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-1,precision,0.18604651162790697
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-1,recall,1.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-2,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-2,f1,0.06916299559471366
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-2,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-2,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-3,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-3,f1,0.05835947591806606
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-3,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-3,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-4,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-4,f1,0.08079291962113762
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-4,precision,0.05
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-4,recall,0.013333333333333334
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-4,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-5,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-5,mean_absolute_error,
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-5,mean_squared_error,
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-5,mean_relative_absolute_error,9999.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-5,rae_score,9999.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-6-5,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7,runtime,23.16758237566267
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7,bleu,2.58238995200873e-155
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7,rouge,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7,llm_paraphrase,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7,total_token_usage_answers,529
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7,llm_code_eval,"""[false, false, true, true]"""
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7,total_token_usage_pipeline,1203
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7-1,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7-1,f1,0.7177033492822965
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7-1,precision,0.6666666666666666
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7-1,recall,0.2
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7-2,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7-2,f1,0.0692224890287323
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7-2,precision,0.05
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7-2,recall,0.010638297872340425
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7-4,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7-4,f1,0.09243249887327407
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7-4,precision,0.05
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7-4,recall,0.020833333333333332
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7-4,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7-5,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7-5,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-7-5,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8,runtime,37.84889970506941
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8,llm_code_eval,"""[false, false, false, false, false, false, false, false, false]"""
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8,total_token_usage_pipeline,968
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8-1,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8-1,success,1
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8-2,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8-2,f1,0.0823339059653907
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8-2,precision,0.15
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8-2,recall,0.00022529288074496845
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8-3,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8-3,f1,0.0967741935483871
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8-3,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8-3,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8-4,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8-4,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-8-4,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9,runtime,27.101959807532175
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9,mean_absolute_error,
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9,mean_squared_error,
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9,mean_relative_absolute_error,9999.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9,rae_score,9999.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9,llm_code_eval,"""[true, false, false, true, true]"""
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9,total_token_usage_pipeline,1042
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9-1,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9-1,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9-2,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9-2,f1,0.060053340970519266
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9-2,precision,0.1
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9-2,recall,0.0009910802775024777
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9-3,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9-3,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9-4,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9-4,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9-4,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9-5,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9-5,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-easy-9-5,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10,runtime,38.17610822405134
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10,llm_code_eval,"""[false, false, false, false, false, false, false, false, false, false]"""
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10,total_token_usage_pipeline,1250
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-1,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-1,success,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-1,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-2,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-2,success,1
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-2,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-3,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-3,f1,0.13738441215323643
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-3,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-3,recall,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-3,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-4,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-4,f1,0.2839531322902223
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-4,precision,0.05
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-4,recall,0.005988023952095809
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-4,total_token_usage_answers,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-5,runtime,0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-5,f1,0.1890145395799677
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-5,precision,0.0
BaselineLLMSystemClaude35Naive,wildfire.json,wildfire-hard-10-5,recall,0.0
