sut,workload,task_id,metric,value
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1,runtime,38.58185758193334
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1,success,0
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1,llm_code_eval,"""[true, false, false, false, true, true, false]"""
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1,total_token_usage_pipeline,1660
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-1,runtime,0
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-1,f1,0.25974025974025977
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-1,precision,0.2
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-1,recall,0.6666666666666666
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-2,runtime,0
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-2,f1,0.23529411764705882
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-2,precision,0.0
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-2,recall,0.0
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-3,runtime,0
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-3,f1,0.0006642311524410494
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-3,precision,0.0
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-3,recall,0.0
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-4,runtime,0
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-4,f1,0.03474621973998199
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-4,precision,0.0
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-4,recall,0.0
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-4,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-5,runtime,0
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-5,f1,0.04642166344294004
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-5,precision,0.0
BaselineLLMSystemClaude35OneShot,archeology.json,archeology-hard-1-5,recall,0.0
