sut,workload,task_id,metric,value
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1,runtime,22.048277695973713
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1,success,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1,llm_code_eval,"""[true, false, false, true, true]"""
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1,total_token_usage_pipeline,1160
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1-1,runtime,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1-1,success,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1-2,runtime,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1-2,f1,0.2081089787841134
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1-2,precision,0.05
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1-2,recall,0.06666666666666667
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1-3,runtime,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1-3,f1_approximate,0.0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1-4,runtime,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1-4,f1_approximate,0.0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1-5,runtime,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1-5,success,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-2,runtime,21.64960773785909
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-2,success,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-2,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-2,llm_code_eval,"""[true, true, true, true]"""
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-2,total_token_usage_pipeline,934
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-2-1,runtime,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-2-1,f1,0.24077134986225895
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-2-1,precision,0.0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-2-1,recall,0.0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-2-2,runtime,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-2-2,success,0
BaselineLLMSystemClaude35OneShot,astronomy.json,astronomy-easy-2-2,total_token_usage_answers,0
