sut,workload,task_id,metric,value
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1,runtime,11.633563649654388
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1,success,1
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1,llm_code_eval,"""[true, true, true, true]"""
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1,total_token_usage_pipeline,810
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1-1,runtime,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1-1,bleu,1.0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1-1,rouge,1.0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1-1,llm_paraphrase,1
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1-1,total_token_usage_answers,492
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1-2,runtime,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1-2,success,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1-3,runtime,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1-3,success,1
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1-4,runtime,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1-4,success,1
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2,runtime,34.377058637142184
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2,f1,0.05907626208378087
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2,precision,0.0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2,recall,0.0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2,llm_code_eval,"""[false, false, false]"""
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2,total_token_usage_pipeline,1249
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-1,runtime,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-1,f1,0.2187314629698794
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-1,precision,0.08333333333333333
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-1,recall,0.01818181818181818
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-2,runtime,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-2,success,1
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-3,runtime,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-3,success,1
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-4,runtime,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-4,f1_approximate,0.0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-5,runtime,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-5,f1,0.05788712011577424
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-5,precision,0.0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-5,recall,0.0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-5,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-6,runtime,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-6,success,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-6,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-7,runtime,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-7,f1,0.0583864118895966
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-7,precision,0.0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-7,recall,0.0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-2-7,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-3,runtime,16.58865727186203
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-3,success,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-3,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-3,llm_code_eval,"""[true, false, true, true, true]"""
BaselineLLMSystemClaude35OneShot,environment.json,environment-easy-3,total_token_usage_pipeline,1119
