sut,workload,task_id,metric,value
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1,runtime,18.116236153103056
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1,success,0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1,llm_code_eval,"""[false, true, false, false, true]"""
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1,total_token_usage_pipeline,1214
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-1,runtime,0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-1,success,0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-2,runtime,0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-2,f1,0.03446308341892046
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-2,precision,0.0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-2,recall,0.0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-3,runtime,0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-3,f1,0.05709717939933767
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-3,precision,0.0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-3,recall,0.0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-4,runtime,0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-4,f1,0.0696041308089501
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-4,precision,0.0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-4,recall,0.0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-5,runtime,0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-5,success,0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemClaude35OneShot,wildfire.json,wildfire-easy-2,runtime,57.76935786292667
