sut,workload,task_id,metric,value
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1,runtime,136.45504750808078
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1,success,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1-1,runtime,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1-1,success,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1-2,runtime,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1-2,f1,0.1802944936319303
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1-2,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1-2,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1-3,runtime,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1-3,f1_approximate,0.0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1-4,runtime,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1-4,f1_approximate,0.0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1-5,runtime,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1-5,success,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2,runtime,176.78906383117038
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2,success,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2,llm_code_eval,"""[false, false, false, false]"""
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2-1,runtime,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2-1,f1,0.33255269320843095
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2-1,precision,0.9230769230769231
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2-1,recall,1.0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2-2,runtime,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2-2,success,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2-3,runtime,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2-3,success,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2-4,runtime,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2-4,success,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-3,runtime,754.038327117761
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-3,success,0
BaselineLLMSystemDeepseekR1FewShot,astronomy.json,astronomy-easy-3,total_token_usage_answers,0
