sut,workload,task_id,metric,value
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1,runtime,92.41513670815363
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1,success,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-1,runtime,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-1,f1,0.1370223978919631
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-1,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-1,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-2,runtime,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-2,f1,0.0929317762753534
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-2,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-2,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-3,runtime,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-3,f1,0.09503646200893906
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-3,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-3,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-5,runtime,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-5,f1,0.09450292397660817
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-5,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-5,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-6,runtime,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-6,success,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2,runtime,64.73207916153802
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2,success,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2,llm_code_eval,"""[false, false, false, false]"""
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2-1,runtime,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2-1,f1,0.11111111111111112
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2-1,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2-1,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2-2,runtime,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2-2,f1,0.09227683049147442
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2-2,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2-2,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2-3,runtime,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2-3,f1,0.09694415173867227
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2-3,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2-3,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2-4,runtime,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2-4,success,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3,runtime,82.06882990731134
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3,success,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3,llm_code_eval,"""[false, false, false, false]"""
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3-1,runtime,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3-1,f1,0.1370223978919631
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3-1,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3-1,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3-2,runtime,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3-2,f1,0.0929317762753534
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3-2,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3-2,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3-3,runtime,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3-3,success,1
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3-4,runtime,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3-4,success,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-3-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4,runtime,88.7065245045556
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4,f1,0.1102941176470588
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4,llm_code_eval,"""[false, false, false]"""
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4-1,runtime,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4-1,success,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4-2,runtime,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4-2,f1,0.05555555555555555
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4-2,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4-2,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4-3,runtime,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4-3,f1,0.32505643340857787
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4-3,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4-3,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-4-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-5,runtime,54.50183476342095
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-5,success,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-5,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-5,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-5,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-5-1,runtime,0
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-5-1,f1,0.1370223978919631
BaselineLLMSystemDeepseekR1FewShot,biomedical.json,biomedical-hard-5-1,precision,0.0
