sut,workload,task_id,metric,value
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1,runtime,42.04676978928702
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1,success,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-1,runtime,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-1,success,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-2,runtime,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-2,f1,0.04441176470588235
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-2,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-2,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-3,runtime,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-3,f1,0.04759278228665983
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-3,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-3,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-4,runtime,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-4,f1,0.04593477262287552
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-4,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-4,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-5,runtime,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-5,success,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2,runtime,83.32068150384086
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2,success,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2,llm_code_eval,"""[false, false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-1,runtime,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-1,f1,0.39867109634551495
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-1,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-1,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-2,runtime,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-2,success,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-3,runtime,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-3,success,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-4,runtime,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-4,f1,0.5254925108831993
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-4,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-4,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-5,runtime,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-5,success,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-5,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-6,runtime,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-6,success,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-2-6,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3,runtime,79.5261060510363
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3,f1,0.13118971061093246
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-1,runtime,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-1,f1,0.39867109634551495
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-1,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-1,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-2,runtime,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-2,success,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-3,runtime,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-3,success,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-4,runtime,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-4,f1,0.42309228925289644
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-4,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-4,recall,0.0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-5,runtime,0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-5,f1,0.392156862745098
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-5,precision,0.0
BaselineLLMSystemDeepseekR1FewShot,wildfire.json,wildfire-easy-3-5,recall,0.0
