sut,workload,task_id,metric,value
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1,runtime,126.02290576696396
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1,success,0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1-1,runtime,0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1-1,success,0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1-2,runtime,0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1-2,f1,0.17160781139330164
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1-2,precision,0.0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1-2,recall,0.0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1-3,runtime,0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1-3,f1_approximate,0.0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1-4,runtime,0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1-4,f1_approximate,0.0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1-5,runtime,0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1-5,success,0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-2,runtime,144.3785988688469
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-2,success,0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-2,llm_code_eval,"""[false, false, false, false]"""
BaselineLLMSystemDeepseekR1Naive,astronomy.json,astronomy-easy-2,total_token_usage_pipeline,0
