sut,workload,task_id,metric,value
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1,runtime,82.73278029759724
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1,success,0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-1,runtime,0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-1,f1,0.1370223978919631
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-1,precision,0.0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-1,recall,0.0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-2,runtime,0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-2,f1,0.0929317762753534
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-2,precision,0.0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-2,recall,0.0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-3,runtime,0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-3,f1,0.07823710283566793
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-3,precision,0.14285714285714285
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-3,recall,0.029411764705882353
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-5,runtime,0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-5,f1,0.09450292397660817
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-5,precision,0.0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-5,recall,0.0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-6,runtime,0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-6,success,0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,biomedical.json,biomedical-easy-2,runtime,78.11301191647847
