sut,workload,task_id,metric,value
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1,runtime,78.36968969106674
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1,success,0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1,llm_code_eval,"""[false, false, false, false]"""
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1-1,runtime,0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1-1,bleu,1.0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1-1,rouge,1.0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1-1,llm_paraphrase,1
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1-1,total_token_usage_answers,492
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1-2,runtime,0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1-2,success,0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1-3,runtime,0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1-3,success,0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1-4,runtime,0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1-4,success,0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-2,runtime,55.74247072935104
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-2,f1,0.0477815699658703
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-2,precision,0.0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-2,recall,0.0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-2,llm_code_eval,"""[false, false, false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-2,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-2-1,runtime,0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-2-1,f1,0.20768581232820105
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-2-1,precision,0.0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-2-1,recall,0.0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-2-2,runtime,0
BaselineLLMSystemDeepseekR1Naive,environment.json,environment-easy-2-2,success,0
