sut,workload,task_id,metric,value
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1,runtime,63.39851758593605
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1,success,0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-1,runtime,0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-1,success,0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-2,runtime,0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-2,f1,0.04441176470588235
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-2,precision,0.0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-2,recall,0.0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-3,runtime,0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-3,f1,0.04759278228665983
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-3,precision,0.0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-3,recall,0.0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-4,runtime,0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-4,f1,0.04593477262287552
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-4,precision,0.0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-4,recall,0.0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-5,runtime,0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-5,success,0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-2,runtime,38.953999735060194
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-2,success,0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-2,llm_code_eval,"""[false, false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1Naive,wildfire.json,wildfire-easy-2,total_token_usage_pipeline,0
