sut,workload,task_id,metric,value
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1,runtime,48.52609254916509
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1,success,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1,llm_code_eval,"""[false, false, false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-1,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-1,f1,0.4808877928483354
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-1,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-1,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-2,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-2,f1,0.05161290322580645
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-2,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-2,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-3,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-3,f1,0.04760981017043092
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-3,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-3,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-4,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-4,f1,0.04488308333507739
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-4,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-4,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-5,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-5,f1,0.04081632653061224
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-5,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-5,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-6,runtime,0
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-6,f1,0.0870130630533462
BaselineLLMSystemDeepseekR1OneShot,archeology.json,archeology-hard-1-6,precision,0.0
