sut,workload,task_id,metric,value
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1,runtime,128.48907192548114
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1,success,0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1-1,runtime,0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1-1,success,1
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1-2,runtime,0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1-2,f1,0.16978676544198618
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1-2,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1-2,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1-3,runtime,0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1-3,f1_approximate,0.0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1-4,runtime,0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1-4,f1_approximate,0.0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1-5,runtime,0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1-5,success,0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-2,runtime,138.74286063512164
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-2,success,0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-2,llm_code_eval,"""[false, false, false, false]"""
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-2,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-2-1,runtime,0
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-2-1,f1,0.33255269320843095
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-2-1,precision,0.9230769230769231
BaselineLLMSystemDeepseekR1OneShot,astronomy.json,astronomy-easy-2-1,recall,1.0
