sut,workload,task_id,metric,value
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1,runtime,92.06864672236972
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-1,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-1,f1,0.1370223978919631
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-1,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-1,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-2,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-2,f1,0.055244195356285025
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-2,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-2,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-3,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-3,f1,0.09503646200893906
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-3,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-3,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-5,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-5,f1,0.09450292397660817
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-5,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-5,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-6,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-6,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2,runtime,79.68592768245273
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2,llm_code_eval,"""[false, false, false, false]"""
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2-1,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2-1,f1,0.11111111111111112
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2-1,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2-1,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2-2,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2-2,f1,0.09227683049147442
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2-2,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2-2,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2-3,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2-3,f1,0.09694415173867227
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2-3,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2-3,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2-4,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2-4,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3,runtime,123.63962631755405
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3,llm_code_eval,"""[false, false, false, false]"""
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3-1,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3-1,f1,0.1370223978919631
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3-1,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3-1,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3-2,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3-2,f1,0.0929317762753534
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3-2,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3-2,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3-3,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3-3,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3-4,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3-4,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-3-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4,runtime,105.21165257030063
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4,f1,0.32505643340857787
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4,llm_code_eval,"""[false, false, false]"""
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4-1,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4-1,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4-2,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4-2,f1,0.08968609865470852
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4-2,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4-2,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4-3,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4-3,f1,0.32505643340857787
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4-3,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4-3,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-4-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5,runtime,61.92634277873569
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-1,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-1,f1,0.1370223978919631
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-1,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-1,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-2,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-2,f1,0.09227683049147442
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-2,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-2,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-3,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-3,f1,0.08417200365965233
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-3,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-3,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-7,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-7,f1,0.08417200365965233
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-7,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-7,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-7,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-8,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-8,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-5-8,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6,runtime,51.221918159061005
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6,llm_code_eval,"""[false, false, false, false]"""
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6-1,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6-1,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6-2,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6-2,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6-3,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6-3,f1,0.09264024704065878
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6-3,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6-3,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6-4,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6-4,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-6-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-7,runtime,58.55049305491977
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-7,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-7,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-7,llm_code_eval,"""[false, false, false]"""
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-7,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-7-1,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-7-1,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-7-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-7-2,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-7-2,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-7-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-7-3,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-7-3,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-7-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8,runtime,59.500110679202606
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8,f1,0.10830324909747292
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8,llm_code_eval,"""[false, false, false, false]"""
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-1,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-1,f1,0.28772635814889336
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-1,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-1,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-2,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-2,f1,0.09188361408882081
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-2,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-2,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-3,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-3,f1,0.29850746268656714
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-3,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-3,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-4,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-4,f1,0.3922779922779922
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-4,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-4,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-hard-8-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9,runtime,59.13839154773288
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9,llm_code_eval,"""[false, false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-1,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-1,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-2,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-2,f1,0.37606837606837606
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-2,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-2,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-3,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-3,f1,0.09134177563188371
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-3,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-3,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-4,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-4,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-5,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-5,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-5,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-6,runtime,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-6,success,0
BaselineLLMSystemDeepseekR1OneShot,biomedical.json,biomedical-easy-9-6,total_token_usage_answers,0
