sut,workload,task_id,metric,value
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1,runtime,64.80799185037613
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1,success,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1,llm_code_eval,"""[false, false, false, false]"""
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1,total_token_usage_pipeline,595
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1-1,runtime,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1-1,bleu,1.0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1-1,rouge,1.0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1-1,llm_paraphrase,1
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1-1,total_token_usage_answers,492
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1-2,runtime,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1-2,success,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1-3,runtime,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1-3,success,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1-4,runtime,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1-4,success,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2,runtime,54.25453125238418
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2,f1,0.0477815699658703
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2,llm_code_eval,"""[false, false, false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-1,runtime,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-1,f1,0.0896358543417367
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-1,precision,1.0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-1,recall,1.0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-2,runtime,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-2,success,1
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-3,runtime,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-3,success,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-4,runtime,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-4,f1_approximate,0.0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-5,runtime,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-5,f1,0.04081632653061224
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-5,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-5,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-5,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-6,runtime,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-6,success,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-6,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-7,runtime,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-7,f1,0.0477815699658703
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-7,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-7,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-2-7,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-3,runtime,64.20967255830764
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-3,success,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-3,total_token_usage_answers,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-3,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-3,total_token_usage_pipeline,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-3-1,runtime,0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-3-1,f1,0.4067796610169492
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-3-1,precision,0.0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-3-1,recall,0.0
BaselineLLMSystemDeepseekR1OneShot,environment.json,environment-easy-3-1,total_token_usage_answers,0
