sut,workload,task_id,metric,value
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1,runtime,37.43348298470179
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1,success,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1,llm_code_eval,"""[true, false, false, true, true]"""
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1,total_token_usage_pipeline,1239
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1-1,runtime,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1-1,success,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1-2,runtime,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1-2,f1,0.3026315789473684
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1-2,precision,1.0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1-2,recall,1.0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1-3,runtime,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1-3,f1_approximate,0.0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1-4,runtime,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1-4,f1_approximate,0.0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1-5,runtime,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1-5,success,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-2,runtime,41.23516068855921
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-2,success,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-2,llm_code_eval,"""[true, true, true, true]"""
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-2,total_token_usage_pipeline,1153
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-2-1,runtime,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-2-1,f1,0.3693181818181819
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-2-1,precision,0.0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-2-1,recall,0.0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-2-2,runtime,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-2-2,success,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-2-3,runtime,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-2-3,success,0
BaselineLLMSystemGPT4oFewShot,astronomy.json,astronomy-easy-2-3,total_token_usage_answers,0
