sut,workload,task_id,metric,value
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1,runtime,197.23836567666797
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1,success,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1,total_token_usage_pipeline,1639
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-1,runtime,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-1,f1,0.0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-1,precision,0.0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-1,recall,0.0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-2,runtime,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-2,f1,0.05705774518790101
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-2,precision,0.0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-2,recall,0.0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-3,runtime,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-3,f1,0.08090049960874016
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-3,precision,0.15
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-3,recall,0.029411764705882353
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-5,runtime,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-5,f1,0.08097841726618706
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-5,precision,0.1
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-5,recall,0.0196078431372549
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-6,runtime,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-6,success,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2,runtime,33.02651717927721
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2,success,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2,llm_code_eval,"""[true, false, true, true]"""
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2,total_token_usage_pipeline,963
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2-1,runtime,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2-1,f1,0.1
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2-1,precision,0.0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2-1,recall,0.0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2-2,runtime,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2-2,f1,0.04081632653061225
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2-2,precision,0.0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2-2,recall,0.0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2-3,runtime,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2-3,f1,0.0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2-3,precision,0.0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2-3,recall,0.0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2-4,runtime,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2-4,success,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-3,runtime,62.38451054361131
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-3,success,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-3,llm_code_eval,"""[true, false, false, false]"""
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-3,total_token_usage_pipeline,1178
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-3-1,runtime,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-3-1,f1,0.1935483870967742
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-3-1,precision,0.0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-3-1,recall,0.0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-3-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,biomedical.json,biomedical-hard-3-2,runtime,0
