sut,workload,task_id,metric,value
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1,runtime,20.35689135789871
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1,success,1
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1,llm_code_eval,"""[true, true, true, true]"""
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1,total_token_usage_pipeline,873
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1-1,runtime,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1-1,bleu,1.0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1-1,rouge,1.0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1-1,llm_paraphrase,1
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1-1,total_token_usage_answers,492
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1-2,runtime,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1-2,success,1
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1-3,runtime,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1-3,success,1
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1-4,runtime,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1-4,success,1
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2,runtime,121.64019581079484
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2,f1,0.2702702702702703
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2,precision,1.0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2,recall,1.0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2,llm_code_eval,"""[false, false, false]"""
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2,total_token_usage_pipeline,1336
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-1,runtime,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-1,f1,0.20247616960666157
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-1,precision,1.0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-1,recall,0.07272727272727272
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-2,runtime,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-2,success,1
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-3,runtime,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-3,success,1
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-4,runtime,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-4,f1_approximate,0.0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-5,runtime,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-5,f1,0.2155688622754491
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-5,precision,0.25
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-5,recall,1.0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-6,runtime,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-6,success,1
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-7,runtime,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-7,f1,0.2393887945670628
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-7,precision,0.5454545454545454
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-7,recall,0.75
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-2-7,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3,runtime,49.56871529817581
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3,success,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3,llm_code_eval,"""[true, false, true, true, true]"""
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3,total_token_usage_pipeline,1277
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3-1,runtime,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3-1,f1,0.08450704225352113
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3-1,precision,0.0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3-1,recall,0.0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3-2,runtime,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3-2,success,1
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3-3,runtime,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3-3,f1_approximate,0.0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3-4,runtime,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3-4,success,1
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3-5,runtime,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3-5,success,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-3-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-4,runtime,41.73969861268997
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-4,success,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-4,llm_code_eval,"""[true, true, false, false, false, false, true]"""
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-4,total_token_usage_pipeline,1149
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-4-1,runtime,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-4-1,f1_approximate,0.0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-4-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,environment.json,environment-easy-4-2,runtime,0
