sut,workload,task_id,metric,value
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1,runtime,43.12452487718491
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1,success,0
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1,total_token_usage_pipeline,1384
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1-1,runtime,0
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1-1,success,0
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1-2,runtime,0
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1-2,f1,0.0013192612137203166
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1-2,precision,0.0
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1-2,recall,0.0
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1-3,runtime,0
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1-3,f1,0.0477549543755276
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1-3,precision,0.0
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1-3,recall,0.0
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1-4,runtime,0
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1-4,f1,0.04746251512226119
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1-4,precision,0.0
BaselineLLMSystemGPT4oFewShot,wildfire.json,wildfire-easy-1-4,recall,0.0
