sut,workload,task_id,metric,value
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1,runtime,34.71864724159241
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1,success,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1,llm_code_eval,"""[false, false, false]"""
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1,total_token_usage_pipeline,1205
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1-1,runtime,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1-1,success,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1-2,runtime,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1-2,f1,0.24752475247524752
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1-2,precision,0.0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1-2,recall,0.0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1-3,runtime,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1-3,f1_approximate,0.0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1-4,runtime,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1-4,f1_approximate,0.0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1-5,runtime,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1-5,success,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2,runtime,42.709797620773315
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2,success,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2,llm_code_eval,"""[true, false, true, true]"""
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2,total_token_usage_pipeline,949
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2-1,runtime,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2-1,f1,0.25834230355220666
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2-1,precision,0.0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2-1,recall,0.0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2-2,runtime,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2-2,success,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2-3,runtime,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2-3,success,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2-4,runtime,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2-4,success,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3,runtime,411.19474506378174
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3,success,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3,llm_code_eval,"""[true, false, true, false, true]"""
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3,total_token_usage_pipeline,1097
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-1,runtime,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-1,success,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-2,runtime,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-2,f1,0.2285109349583
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-2,precision,0.0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-2,recall,0.0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-3,runtime,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-3,f1,0.08252072105223006
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-3,precision,0.1
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-3,recall,0.0013908205841446453
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-4,runtime,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-4,f1,0.05973161595412193
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-4,precision,0.1
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-4,recall,0.002079002079002079
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-5,runtime,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-5,f1_approximate,0.0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-6,runtime,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-6,success,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-3-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-4,runtime,30.404088973999023
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-4,bleu,0.49725484107138873
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-4,rouge,0.5106382978723404
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-4,llm_paraphrase,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-4,total_token_usage_answers,597
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-4,llm_code_eval,"""[false, false, false]"""
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-4,total_token_usage_pipeline,1289
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-4-1,runtime,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-4-1,success,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-4-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-4-2,runtime,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-4-2,success,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-4-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-4-3,runtime,0
BaselineLLMSystemGPT4oNaive,astronomy.json,astronomy-easy-4-3,f1,0.125
