sut,workload,task_id,metric,value
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1,runtime,11.081497967243195
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1,success,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1,llm_code_eval,"""[true, false, true, true]"""
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1,total_token_usage_pipeline,884
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1-1,runtime,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1-1,bleu,1.0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1-1,rouge,1.0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1-1,llm_paraphrase,1
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1-1,total_token_usage_answers,492
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1-2,runtime,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1-2,success,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1-3,runtime,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1-3,success,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1-4,runtime,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1-4,success,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2,runtime,10.442725718021393
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2,f1,0.037082818294190356
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2,precision,0.0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2,recall,0.0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2,llm_code_eval,"""[true, false, false, false, false, false, false]"""
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2,total_token_usage_pipeline,1548
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-1,runtime,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-1,f1,0.2286422256011714
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-1,precision,0.0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-1,recall,0.0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-2,runtime,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-2,success,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-3,runtime,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-3,success,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-4,runtime,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-4,f1_approximate,0.0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-5,runtime,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-5,f1,0.059612518628912065
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-5,precision,0.0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-5,recall,0.0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-6,runtime,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-6,success,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-7,runtime,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-7,f1,0.036630036630036625
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-7,precision,0.0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-7,recall,0.0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-2-7,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3,runtime,14.761989414691925
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3,success,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3,llm_code_eval,"""[true, true, false, true, true]"""
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3,total_token_usage_pipeline,1197
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3-1,runtime,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3-1,f1,0.21762785636561482
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3-1,precision,0.0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3-1,recall,0.0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3-2,runtime,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3-2,success,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3-3,runtime,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3-3,f1_approximate,0.0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3-4,runtime,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3-4,success,1
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3-5,runtime,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3-5,success,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-3-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-4,runtime,20.510145723819733
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-4,success,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-4,llm_code_eval,"""[true, true, false, false, true, false, true]"""
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-4,total_token_usage_pipeline,1095
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-4-1,runtime,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-4-1,f1_approximate,0.0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-4-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,environment.json,environment-easy-4-2,runtime,0
