sut,workload,task_id,metric,value
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1,runtime,11.423850468226842
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1,success,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1,llm_code_eval,"""[false, false, false]"""
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1,total_token_usage_pipeline,1325
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-1,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-1,success,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-2,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-2,f1,0.06083829114987731
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-2,precision,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-2,recall,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-3,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-3,f1,0.06021512754970749
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-3,precision,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-3,recall,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-4,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-4,f1,0.04786084420487983
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-4,precision,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-4,recall,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-5,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-5,success,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2,runtime,14.425202539988927
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2,success,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2,llm_code_eval,"""[true, true, false, false, true, true]"""
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2,total_token_usage_pipeline,1044
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-1,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-1,f1,0.19274376417233563
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-1,precision,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-1,recall,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-2,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-2,success,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-3,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-3,success,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-4,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-4,f1,0.25686339365874405
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-4,precision,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-4,recall,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-5,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-5,success,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-6,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-6,success,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-2-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3,runtime,39.09866540772574
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3,f1,0.392156862745098
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3,precision,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3,recall,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3,llm_code_eval,"""[true, false, false, true, true]"""
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3,total_token_usage_pipeline,1109
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-1,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-1,f1,0.19274376417233563
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-1,precision,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-1,recall,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-2,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-2,success,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-3,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-3,success,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-4,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-4,f1,0.244947209653092
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-4,precision,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-4,recall,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-5,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-5,f1,0.13877551020408163
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-5,precision,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-5,recall,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-easy-3-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4,runtime,10.495023659297399
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4,success,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4,llm_code_eval,"""[false, true, true, true, true, true]"""
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4,total_token_usage_pipeline,1147
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-1,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-1,f1,0.2141291871021601
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-1,precision,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-1,recall,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-2,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-2,f1,0.034901365705614563
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-2,precision,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-2,recall,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-3,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-3,f1,0.13761467889908258
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-3,precision,0.07692307692307693
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-3,recall,1.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-4,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-4,f1,0.04693210232737065
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-4,precision,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-4,recall,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-5,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-5,success,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-6,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-6,success,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-4-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5,runtime,6.542029074260166
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5,success,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5,llm_code_eval,"""[false, false, false, false, true, false, false]"""
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5,total_token_usage_pipeline,1088
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-1,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-1,f1,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-1,precision,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-1,recall,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-2,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-2,success,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-3,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-3,f1,0.05916849931930044
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-3,precision,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-3,recall,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-4,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-4,f1,0.03332229945934017
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-4,precision,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-4,recall,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-5,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-5,f1,0.04763764154627098
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-5,precision,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-5,recall,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-6,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-6,f1,0.0715542521994135
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-6,precision,0.05
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-6,recall,0.04
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-7,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-7,success,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-5-7,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-6,runtime,13.08058398110526
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-6,mean_absolute_error,
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-6,mean_squared_error,
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-6,mean_relative_absolute_error,9999.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-6,rae_score,9999.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-6,llm_code_eval,"""[true, false, false, true, true]"""
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-6,total_token_usage_pipeline,1456
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-6-1,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-6-1,f1,0.13259668508287295
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-6-1,precision,0.17777777777777778
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-6-1,recall,1.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-6-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-6-2,runtime,0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-6-2,f1,0.05884007181949943
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-6-2,precision,0.0
BaselineLLMSystemGPT4oNaive,wildfire.json,wildfire-hard-6-2,recall,0.0
