sut,workload,task_id,metric,value
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1,runtime,60.576703568299614
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1,success,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1,llm_code_eval,"""[true, true, false, false, true, true, true]"""
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1,total_token_usage_pipeline,1446
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-1,runtime,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-1,f1,0.20965027118010096
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-1,precision,0.0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-1,recall,0.0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-2,runtime,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-2,f1,0.00036668092648047424
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-2,precision,0.0005977286312014345
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-2,recall,1.0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-3,runtime,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-3,f1,0.07062245491564863
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-3,precision,0.0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-3,recall,0.0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-4,runtime,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-4,f1,5.5740583325204497e-05
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-4,precision,0.0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-4,recall,0.0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-5,runtime,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-5,f1,0.059602649006622516
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-5,precision,0.0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-5,recall,0.0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-6,runtime,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-6,f1,0.06912064528799255
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-6,precision,0.05
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-6,recall,0.00014164305949008498
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-7,runtime,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-7,success,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-1-7,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-2,runtime,41.807232876618706
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-2,success,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-2,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-2,total_token_usage_pipeline,1008
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-2-1,runtime,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-2-1,f1,0.20965027118010096
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-2-1,precision,0.0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-2-1,recall,0.0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-2-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-2-2,runtime,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-2-2,f1,0.04745762711864407
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-2-2,precision,0.1
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-2-2,recall,0.4
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-2-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-2-3,runtime,0
BaselineLLMSystemGPT4oOneShot,archeology.json,archeology-hard-2-3,f1,0.20056792706620832
