sut,workload,task_id,metric,value
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1,runtime,47.927542905012764
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1,success,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1,llm_code_eval,"""[true, false, false, true, true]"""
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1,total_token_usage_pipeline,1158
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1-1,runtime,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1-1,success,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1-2,runtime,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1-2,f1,0.4250229990800368
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1-2,precision,1.0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1-2,recall,0.6
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1-3,runtime,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1-3,f1_approximate,0.0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1-4,runtime,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1-4,f1_approximate,0.0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1-5,runtime,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1-5,success,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-2,runtime,37.462359170118965
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-2,success,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-2,llm_code_eval,"""[true, true, true, true]"""
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-2,total_token_usage_pipeline,1070
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-2-1,runtime,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-2-1,f1,0.4691358024691357
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-2-1,precision,0.0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-2-1,recall,0.0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-2-2,runtime,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-2-2,success,0
BaselineLLMSystemGPT4oOneShot,astronomy.json,astronomy-easy-2-2,total_token_usage_answers,0
