sut,workload,task_id,metric,value
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1,runtime,32.66897471745809
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1,success,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1,total_token_usage_pipeline,1142
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-1,runtime,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-1,f1,0.12449071978270712
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-1,precision,0.15
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-1,recall,0.25
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-2,runtime,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-2,f1,0.06952624839948782
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-2,precision,0.0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-2,recall,0.0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-3,runtime,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-3,f1,0.08173355072844896
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-3,precision,0.15
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-3,recall,0.029411764705882353
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-5,runtime,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-5,f1,0.08188351920693929
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-5,precision,0.1
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-5,recall,0.0196078431372549
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-6,runtime,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-6,success,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2,runtime,9.946350892384848
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2,success,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2,llm_code_eval,"""[true, false, true, true]"""
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2,total_token_usage_pipeline,926
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2-1,runtime,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2-1,f1,0.12576561861984484
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2-1,precision,0.1
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2-1,recall,0.3333333333333333
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2-2,runtime,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2-2,f1,0.058333333333333334
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2-2,precision,0.0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2-2,recall,0.0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2-3,runtime,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2-3,f1,0.07056892778993436
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2-3,precision,0.05
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2-3,recall,0.041666666666666664
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2-4,runtime,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2-4,success,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3,runtime,35.63655813535055
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3,success,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3,llm_code_eval,"""[false, false, true, true]"""
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3,total_token_usage_pipeline,1210
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3-1,runtime,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3-1,f1,0.13518197573656845
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3-1,precision,0.1
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3-1,recall,0.16666666666666666
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3-2,runtime,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3-2,f1,0.06945525291828793
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3-2,precision,0.0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3-2,recall,0.0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3-3,runtime,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3-3,success,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,biomedical.json,biomedical-hard-3-4,runtime,0
