sut,workload,task_id,metric,value
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1,runtime,58.26347125768662
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1,success,1
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1,llm_code_eval,"""[false, false, false]"""
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1,total_token_usage_pipeline,904
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1-1,runtime,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1-1,bleu,1.0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1-1,rouge,1.0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1-1,llm_paraphrase,1
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1-1,total_token_usage_answers,492
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1-2,runtime,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1-2,success,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1-3,runtime,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1-3,success,1
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1-4,runtime,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1-4,success,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2,runtime,49.93925179243088
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2,f1,0.036630036630036625
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2,precision,0.0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2,recall,0.0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2,llm_code_eval,"""[true, true, true, true, true, true, true]"""
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2,total_token_usage_pipeline,1417
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-1,runtime,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-1,f1,0.2261796438320551
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-1,precision,0.0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-1,recall,0.0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-2,runtime,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-2,success,1
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-3,runtime,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-3,success,1
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-4,runtime,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-4,f1_approximate,0.0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-5,runtime,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-5,f1,0.2155688622754491
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-5,precision,0.25
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-5,recall,1.0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-5,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-6,runtime,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-6,success,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-6,total_token_usage_answers,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-7,runtime,0
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-7,f1,0.03618817852834741
BaselineLLMSystemGPT4oOneShot,environment.json,environment-easy-2-7,precision,0.0
