sut,workload,task_id,metric,value
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1,runtime,16.54512224594752
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1,success,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1,llm_code_eval,"""[true, false, true, true, true]"""
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1,total_token_usage_pipeline,1310
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1-1,runtime,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1-1,success,1
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1-2,runtime,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1-2,f1,0.4250229990800368
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1-2,precision,1.0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1-2,recall,0.6
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1-3,runtime,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1-3,f1_approximate,0.0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1-4,runtime,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1-4,f1_approximate,0.0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1-5,runtime,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1-5,success,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2,runtime,17.107828478018444
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2,success,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2,llm_code_eval,"""[true, false, true, true]"""
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2,total_token_usage_pipeline,1126
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2-1,runtime,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2-1,f1,0.4742297725309531
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2-1,precision,1.0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2-1,recall,0.5
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2-2,runtime,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2-2,success,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2-3,runtime,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2-3,success,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2-4,runtime,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2-4,success,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3,runtime,4.509789566198984
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3,success,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3,llm_code_eval,"""[false, false, false, false, false, false]"""
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3,total_token_usage_pipeline,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-1,runtime,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-1,success,1
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-2,runtime,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-2,f1,0.27367748319795493
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-2,precision,0.16666666666666666
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-2,recall,0.0013550135501355014
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-3,runtime,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-3,f1,0.13358743143999255
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-3,precision,0.0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-3,recall,0.0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-4,runtime,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-4,f1,0.09317658465640527
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-4,precision,0.0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-4,recall,0.0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-5,runtime,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-5,f1_approximate,0.0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-6,runtime,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-6,success,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-3-6,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-4,runtime,27.75682673851649
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-4,bleu,0.15910120234988448
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-4,rouge,0.3488372093023256
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-4,llm_paraphrase,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-4,total_token_usage_answers,730
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-4,llm_code_eval,"""[true, true, true, true, false]"""
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-4,total_token_usage_pipeline,1772
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-4-1,runtime,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-4-1,success,1
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-4-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-4-2,runtime,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-4-2,success,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-4-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-4-3,runtime,0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-4-3,f1,0.5714285714285715
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-4-3,precision,1.0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-4-3,recall,1.0
BaselineLLMSystemGPTo3FewShot,astronomy.json,astronomy-easy-4-3,total_token_usage_answers,0
