sut,workload,task_id,metric,value
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1,runtime,1290.286315785514
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1,success,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1,llm_code_eval,"""[true, false, true, true, true]"""
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1,total_token_usage_pipeline,2394
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-1,runtime,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-1,f1,0.4077669902912621
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-1,precision,0.6
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-1,recall,0.5
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-2,runtime,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-2,f1,0.5309734513274336
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-2,precision,0.0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-2,recall,0.0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-3,runtime,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-3,f1,0.011853965988821501
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-3,precision,0.2222222222222222
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-3,recall,1.0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-5,runtime,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-5,f1,0.07229778095919827
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-5,precision,0.0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-5,recall,0.0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-6,runtime,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-6,success,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2,runtime,19.67065273390876
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2,success,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2,llm_code_eval,"""[true, false, true, true]"""
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2,total_token_usage_pipeline,1105
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2-1,runtime,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2-1,f1,0.4
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2-1,precision,0.5
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2-1,recall,1.0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2-2,runtime,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2-2,f1,0.04081632653061225
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2-2,precision,0.0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2-2,recall,0.0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2-3,runtime,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2-3,f1,0.12121212121212122
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2-3,precision,0.0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2-3,recall,0.0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2-4,runtime,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2-4,success,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3,runtime,21.040005074607002
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3,success,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3,llm_code_eval,"""[false, false, false, true]"""
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3,total_token_usage_pipeline,1407
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3-1,runtime,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3-1,f1,0.4329896907216495
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3-1,precision,0.6
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3-1,recall,0.5
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3-2,runtime,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3-2,f1,0.005249343832020998
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3-2,precision,0.0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3-2,recall,0.0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3-3,runtime,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3-3,success,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3-4,runtime,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3-4,success,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-3-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-4,runtime,80.21172820197211
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-4,f1,0.2222222222222222
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-4,precision,0.0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-4,recall,0.0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-4,llm_code_eval,"""[true, true, true]"""
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-4,total_token_usage_pipeline,2175
BaselineLLMSystemGPTo3FewShot,biomedical.json,biomedical-hard-4-1,runtime,0
