sut,workload,task_id,metric,value
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1,runtime,17.562383902072906
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1,success,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1,llm_code_eval,"""[false, false, false]"""
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1,total_token_usage_pipeline,963
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1-1,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1-1,bleu,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1-1,rouge,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1-1,llm_paraphrase,1
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1-1,total_token_usage_answers,492
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1-2,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1-2,success,1
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1-3,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1-3,success,1
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1-4,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1-4,success,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2,runtime,74.78779698610306
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2,f1,0.3448275862068966
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2,precision,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2,recall,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2,llm_code_eval,"""[true, true, true, true, true, true, true]"""
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2,total_token_usage_pipeline,1544
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-1,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-1,f1,0.0896358543417367
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-1,precision,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-1,recall,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-2,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-2,success,1
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-3,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-3,success,1
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-4,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-4,f1_approximate,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-5,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-5,f1,0.2155688622754491
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-5,precision,0.25
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-5,recall,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-6,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-6,success,1
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-6,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-7,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-7,f1,0.35162094763092266
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-7,precision,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-7,recall,0.875
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-2-7,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3,runtime,41.1697921872139
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3,success,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3,llm_code_eval,"""[true, true, true, true, true]"""
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3,total_token_usage_pipeline,1572
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3-1,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3-1,f1,0.5909090909090909
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3-1,precision,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3-1,recall,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3-2,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3-2,success,1
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3-3,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3-3,f1_approximate,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3-4,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3-4,success,1
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3-5,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3-5,success,1
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-3-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4,runtime,18.678149473667144
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4,success,1
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4,llm_code_eval,"""[true, true, false, false, true, false, true]"""
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4,total_token_usage_pipeline,1178
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-1,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-1,f1_approximate,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-2,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-2,f1,0.6111111111111112
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-2,precision,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-2,recall,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-3,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-3,success,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-4,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-4,f1_approximate,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-5,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-5,success,1
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-6,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-6,success,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-6,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-7,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-7,success,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-4-7,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5,runtime,17.832087528705596
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5,success,1
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5,llm_code_eval,"""[true, true, true, true, true, true]"""
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5,total_token_usage_pipeline,1163
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-1,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-1,f1_approximate,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-2,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-2,f1,0.5882352941176471
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-2,precision,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-2,recall,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-3,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-3,f1,0.7586206896551725
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-3,precision,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-3,recall,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-4,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-4,f1,0.26519916142557654
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-4,precision,0.6666666666666666
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-4,recall,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-5,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-5,success,1
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-6,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-6,success,1
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-5-6,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6,runtime,53.24223519563675
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6,success,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6,llm_code_eval,"""[true, true, true, false, false]"""
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6,total_token_usage_pipeline,1611
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6-1,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6-1,f1_approximate,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6-2,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6-2,success,1
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6-3,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6-3,f1,0.22764227642276422
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6-3,precision,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6-3,recall,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6-4,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6-4,f1_approximate,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6-5,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6-5,success,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-easy-6-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7,runtime,23.32566953897476
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7,success,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7,llm_code_eval,"""[true, true, true, true, true, false, true, true]"""
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7,total_token_usage_pipeline,1520
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-1,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-1,bleu,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-1,rouge,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-1,llm_paraphrase,1
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-1,total_token_usage_answers,492
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-2,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-2,f1,0.38983050847457623
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-2,precision,0.5
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-2,recall,0.7142857142857143
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-3,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-3,success,1
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-4,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-4,f1,0.025283347863993028
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-4,precision,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-4,recall,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-5,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-5,f1,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-5,precision,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-5,recall,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-6,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-6,f1,0.2413022661985318
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-6,precision,0.18181818181818182
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-6,recall,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-6,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-7,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-7,f1_approximate,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-7,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-8,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-8,success,1
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-7-8,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8,runtime,53.73794246912003
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8,success,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8,llm_code_eval,"""[false, false, false, false, false, true, true, true]"""
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8,total_token_usage_pipeline,1631
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-1,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-1,f1_approximate,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-2,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-2,f1,0.00872597823570271
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-2,precision,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-2,recall,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-3,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-3,f1_approximate,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-4,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-4,bleu,0.013910016269373045
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-4,rouge,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-4,llm_paraphrase,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-4,total_token_usage_answers,563
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-5,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-5,bleu,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-5,rouge,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-5,llm_paraphrase,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-5,total_token_usage_answers,481
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-6,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-6,f1,0.2866779089376054
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-6,precision,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-6,recall,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-6,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-7,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-7,f1,0.031578947368421054
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-7,precision,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-7,recall,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-7,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-8,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-8,success,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-8-8,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9,runtime,81.80566741228104
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9,f1,0.5185185185185185
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9,precision,0.8888888888888888
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9,recall,0.8888888888888888
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9,llm_code_eval,"""[true, false, false, false, false, true, true, true]"""
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9,total_token_usage_pipeline,1909
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9-1,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9-1,f1,0.23589743589743586
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9-1,precision,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9-1,recall,1.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9-2,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9-2,success,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9-3,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9-3,f1,0.2922004944931445
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9-3,precision,0.3
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9-3,recall,0.25
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9-4,runtime,0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9-4,f1,0.4909344490934448
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9-4,precision,0.0
BaselineLLMSystemGPTo3FewShot,environment.json,environment-hard-9-4,recall,0.0
