sut,workload,task_id,metric,value
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1,runtime,249.48515579814003
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1,success,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1,total_token_usage_pipeline,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-1,runtime,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-1,success,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-2,runtime,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-2,f1,0.014771048744460854
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-2,precision,0.0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-2,recall,0.0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-3,runtime,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-3,f1,0.00844236209335219
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-3,precision,0.0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-3,recall,0.0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-4,runtime,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-4,f1,0.08301014935225678
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-4,precision,0.0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-4,recall,0.0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-5,runtime,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-5,success,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-2,runtime,195.3926200639634
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-2,success,1
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-2,llm_code_eval,"""[true, true, true, true, true, true]"""
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-2,total_token_usage_pipeline,2150
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-2-1,runtime,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-2-1,f1,0.42424242424242425
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-2-1,precision,0.5454545454545454
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-2-1,recall,1.0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-2-2,runtime,0
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-2-2,success,1
BaselineLLMSystemGPTo3FewShot,wildfire.json,wildfire-easy-2-2,total_token_usage_answers,0
