sut,workload,task_id,metric,value
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1,runtime,42.28988653421402
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1,success,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1,llm_code_eval,"""[true, true, false, false, true, true, true]"""
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1,total_token_usage_pipeline,2313
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-1,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-1,f1,0.05882352941176471
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-1,precision,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-1,recall,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-2,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-2,f1,0.23529411764705882
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-2,precision,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-2,recall,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-3,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-3,f1,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-3,precision,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-3,recall,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-4,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-4,f1,0.07126183697867838
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-4,precision,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-4,recall,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-5,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-5,f1,0.04780876494023904
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-5,precision,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-5,recall,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-6,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-6,f1,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-6,precision,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-6,recall,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-7,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-7,success,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-1-7,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2,runtime,21.92534977197647
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2,success,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2,llm_code_eval,"""[false, true, false, false, true, true]"""
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2,total_token_usage_pipeline,1381
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-1,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-1,f1,0.4444444444444445
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-1,precision,0.2857142857142857
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-1,recall,0.3333333333333333
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-2,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-2,f1,0.048027444253859346
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-2,precision,0.1
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-2,recall,0.4
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-3,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-3,f1,0.05928471383926882
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-3,precision,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-3,recall,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-4,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-4,f1,5.5740583325204497e-05
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-4,precision,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-4,recall,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-5,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-5,f1,0.024735082631877254
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-5,precision,0.05
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-5,recall,0.00011961722488038278
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-6,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-6,success,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-2-6,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3,runtime,54.95247393846512
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3,success,1
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3,llm_code_eval,"""[true, true, true, true]"""
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3,total_token_usage_pipeline,1238
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3-1,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3-1,f1,0.888888888888889
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3-1,precision,1.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3-1,recall,1.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3-2,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3-2,f1,0.20892018779342722
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3-2,precision,0.5
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3-2,recall,0.007407407407407408
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3-3,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3-3,f1,0.003208868144690782
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3-3,precision,0.09861212563915267
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3-3,recall,1.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3-4,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3-4,success,1
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-3-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4,runtime,25.93513423204422
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4,success,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4,llm_code_eval,"""[false, false, false, false, false, true, true, true]"""
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4,total_token_usage_pipeline,1418
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-1,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-1,success,1
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-2,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-2,f1,0.05974607916355489
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-2,precision,0.15
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-2,recall,0.6
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-3,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-3,f1,0.035928143712574856
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-3,precision,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-3,recall,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-4,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-4,f1,0.006653465346534653
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-4,precision,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-4,recall,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-5,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-5,f1,0.07173473259617011
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-5,precision,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-5,recall,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-6,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-6,f1,0.04773269689737469
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-6,precision,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-6,recall,0.0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-6,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-7,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-7,success,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-7,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-8,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-8,success,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-easy-4-8,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-5,runtime,47.78858667612076
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-5,success,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-5,llm_code_eval,"""[true, false, true, true, true, false, true, true]"""
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-5,total_token_usage_pipeline,2146
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-5-1,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-5-1,f1,0.406576980568012
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-5-1,precision,0.125
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-5-1,recall,0.16666666666666666
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-5-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-5-2,runtime,0
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-5-2,f1,0.059447983014861996
BaselineLLMSystemGPTo3Naive,archeology.json,archeology-hard-5-2,precision,1.0
