sut,workload,task_id,metric,value
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1,runtime,125.08871865272522
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1,success,0
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1,llm_code_eval,"""[false, false, false]"""
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1,total_token_usage_pipeline,1978
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1-1,runtime,0
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1-1,success,0
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1-2,runtime,0
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1-2,f1,0.030534351145038167
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1-2,precision,0.0
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1-2,recall,0.0
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1-3,runtime,0
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1-3,f1_approximate,0.0
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1-4,runtime,0
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1-4,f1_approximate,0.0
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1-5,runtime,0
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1-5,success,0
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,astronomy.json,astronomy-easy-2,runtime,41.71987199783325
