sut,workload,task_id,metric,value
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1,runtime,225.02507564756604
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1,success,0
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1,llm_code_eval,"""[true, false, false, false, false]"""
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1,total_token_usage_pipeline,2426
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-1,runtime,0
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-1,f1,0.15272727272727274
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-1,precision,0.3055555555555556
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-1,recall,0.9166666666666666
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-2,runtime,0
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-2,f1,0.07035565461769552
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-2,precision,0.0
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-2,recall,0.0
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-3,runtime,0
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-3,f1,0.07260963335729691
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-3,precision,0.0
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-3,recall,0.0
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-5,runtime,0
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-5,f1,0.08276002649951587
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-5,precision,0.1
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-5,recall,0.0196078431372549
BaselineLLMSystemGPTo3Naive,biomedical.json,biomedical-hard-1-5,total_token_usage_answers,0
