sut,workload,task_id,metric,value
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1,runtime,51.98051534493764
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1,success,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1,llm_code_eval,"""[false, false, false, true, true, true, true, true]"""
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1,total_token_usage_pipeline,2142
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-1,runtime,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-1,success,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-2,runtime,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-2,success,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-3,runtime,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-3,success,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-4,runtime,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-4,f1_approximate,0.0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-5,runtime,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-5,f1,0.25512408094462496
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-5,precision,0.0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-5,recall,0.0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-6,runtime,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-6,success,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-7,runtime,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-7,success,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-7,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-8,runtime,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-8,success,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-1-8,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-2,runtime,57.62381659348806
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-2,bleu,0.0431277585062415
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-2,rouge,0.0
BaselineLLMSystemGPTo3Naive,legal.json,legal-hard-2,llm_paraphrase,0
