sut,workload,task_id,metric,value
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1,runtime,22.740265596480597
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1,success,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1,llm_code_eval,"""[true, false, false, true, true]"""
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1,total_token_usage_pipeline,1714
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-1,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-1,success,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-2,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-2,f1,0.07421266591565852
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-2,precision,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-2,recall,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-3,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-3,f1,0.04753539320037201
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-3,precision,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-3,recall,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-4,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-4,f1,0.05981298647025022
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-4,precision,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-4,recall,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-5,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-5,success,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2,runtime,29.271035183043708
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2,success,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2,llm_code_eval,"""[true, true, false, false, true, false]"""
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2,total_token_usage_pipeline,1599
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-1,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-1,f1,0.19274376417233563
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-1,precision,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-1,recall,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-2,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-2,success,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-3,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-3,success,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-4,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-4,f1,0.25686339365874405
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-4,precision,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-4,recall,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-5,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-5,success,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-6,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-6,success,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-2-6,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3,runtime,30.902127969832648
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3,f1,0.14039917412250516
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3,precision,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3,recall,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3,llm_code_eval,"""[true, true, false, true, true]"""
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3,total_token_usage_pipeline,1522
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-1,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-1,f1,0.19274376417233563
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-1,precision,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-1,recall,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-2,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-2,success,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-3,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-3,success,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-4,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-4,f1,0.244947209653092
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-4,precision,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-4,recall,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-5,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-5,f1,0.13877551020408163
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-5,precision,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-5,recall,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-easy-3-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4,runtime,51.99528263864063
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4,success,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4,llm_code_eval,"""[false, true, true, true, true, true]"""
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4,total_token_usage_pipeline,1706
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4-1,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4-1,f1,0.5476190476190476
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4-1,precision,0.7777777777777778
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4-1,recall,0.7777777777777778
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4-2,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4-2,f1,0.045142296368989206
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4-2,precision,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4-2,recall,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4-3,runtime,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4-3,f1,0.048780487804878044
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4-3,precision,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4-3,recall,0.0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3Naive,wildfire.json,wildfire-hard-4-4,runtime,0
