sut,workload,task_id,metric,value
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1,runtime,76.79254639148712
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1,success,0
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1,llm_code_eval,"""[true, false, true, true, true]"""
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1,total_token_usage_pipeline,1429
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1-1,runtime,0
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1-1,success,1
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1-2,runtime,0
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1-2,f1,0.3026315789473684
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1-2,precision,1.0
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1-2,recall,1.0
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1-3,runtime,0
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1-3,f1_approximate,0.0
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1-4,runtime,0
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1-4,f1_approximate,0.0
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1-5,runtime,0
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1-5,success,0
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-2,runtime,25.964516282081604
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-2,success,0
BaselineLLMSystemGPTo3OneShot,astronomy.json,astronomy-easy-2,total_token_usage_answers,0
