sut,workload,task_id,metric,value
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1,runtime,58.01785583496094
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1,success,0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1,llm_code_eval,"""[true, false, true, true]"""
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1,total_token_usage_pipeline,960
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1-1,runtime,0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1-1,bleu,1.0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1-1,rouge,1.0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1-1,llm_paraphrase,1
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1-1,total_token_usage_answers,492
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1-2,runtime,0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1-2,success,1
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1-3,runtime,0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1-3,success,1
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1-4,runtime,0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1-4,success,1
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2,runtime,88.32440991401673
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2,f1,0.04848484848484849
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2,precision,0.0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2,recall,0.0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2,llm_code_eval,"""[true, true, true, true, false, true, true]"""
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2,total_token_usage_pipeline,1346
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2-1,runtime,0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2-1,f1,0.0896358543417367
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2-1,precision,1.0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2-1,recall,1.0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2-2,runtime,0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2-2,success,1
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2-3,runtime,0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2-3,success,1
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemGPTo3OneShot,environment.json,environment-easy-2-4,runtime,0
