sut,workload,task_id,metric,value
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1,runtime,152.42401125695972
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1,success,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1,total_token_usage_pipeline,1139
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-1,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-1,f1,0.13592233009708737
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-1,precision,0.2727272727272727
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-1,recall,1.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-2,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-2,f1,0.06363955119214586
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-2,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-2,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-3,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-3,f1,0.07488904461574399
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-3,precision,0.13636363636363635
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-3,recall,0.029411764705882353
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-5,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-5,f1,0.08515731874145008
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-5,precision,0.09090909090909091
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-5,recall,0.0196078431372549
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-6,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-6,success,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2,runtime,71.0149421956804
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2,success,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2,llm_code_eval,"""[true, false, true, true]"""
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2,total_token_usage_pipeline,1090
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2-1,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2-1,f1,0.10492332526230833
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2-1,precision,0.09090909090909091
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2-1,recall,0.3333333333333333
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2-2,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2-2,f1,0.05327442827442828
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2-2,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2-2,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2-3,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2-3,f1,0.054179566563467486
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2-3,precision,0.045454545454545456
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2-3,recall,0.041666666666666664
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2-4,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2-4,success,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3,runtime,41.50418236520555
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3,success,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3,llm_code_eval,"""[false, false, false, false]"""
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3,total_token_usage_pipeline,1401
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3-1,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3-1,f1,0.1145374449339207
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3-1,precision,0.09090909090909091
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3-1,recall,0.16666666666666666
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3-2,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3-2,f1,0.05342551854179762
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3-2,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3-2,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3-3,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3-3,success,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3-4,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3-4,success,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-3-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4,runtime,89.28492572572496
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4,f1,0.2692307692307692
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4,llm_code_eval,"""[false, false, false]"""
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4,total_token_usage_pipeline,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4-1,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4-1,success,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4-2,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4-2,f1,0.08403361344537816
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4-2,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4-2,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4-3,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4-3,f1,0.1056338028169014
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4-3,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4-3,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-4-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5,runtime,27.113699939515854
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5,success,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5,total_token_usage_pipeline,1128
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-1,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-1,f1,0.13592233009708737
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-1,precision,0.2727272727272727
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-1,recall,1.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-2,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-2,f1,0.06325301204819277
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-2,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-2,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-3,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-3,f1,0.07457879088206144
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-3,precision,0.045454545454545456
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-3,recall,0.041666666666666664
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-7,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-7,f1,0.07319391634980987
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-7,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-7,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-7,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-8,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-8,success,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-5-8,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6,runtime,23.895398643281723
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6,success,1
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6,llm_code_eval,"""[true, false, true, false]"""
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6,total_token_usage_pipeline,1006
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6-1,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6-1,success,1
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6-2,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6-2,success,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6-3,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6-3,f1,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6-3,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6-3,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6-4,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6-4,success,1
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-easy-6-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-7,runtime,30.247555759218002
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-7,success,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-7,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-7,llm_code_eval,"""[false, false, false]"""
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-7,total_token_usage_pipeline,1054
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-7-1,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-7-1,success,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-7-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-7-2,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-7-2,success,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-7-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-7-3,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-7-3,success,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-7-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-8,runtime,52.2038078573015
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-8,f1,0.1048951048951049
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-8,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-8,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,biomedical.json,biomedical-hard-8,total_token_usage_answers,0
