sut,workload,task_id,metric,value
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1,runtime,4.303245174884796
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1,success,1
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1,llm_code_eval,"""[true, false, true, true]"""
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1,total_token_usage_pipeline,795
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1-1,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1-1,bleu,0.30512272300735016
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1-1,rouge,0.5555555555555556
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1-1,llm_paraphrase,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1-1,total_token_usage_answers,510
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1-2,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1-2,success,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1-3,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1-3,success,1
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1-4,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1-4,success,1
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2,runtime,175.63983927965165
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2,f1,0.08
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2,llm_code_eval,"""[false, false, false, false, false, false, false]"""
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2,total_token_usage_pipeline,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2-1,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2-1,f1,0.38262209806377034
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2-1,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2-1,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2-2,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2-2,success,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2-3,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2-3,success,1
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2-4,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,environment.json,environment-easy-2-4,f1_approximate,0.0
