sut,workload,task_id,metric,value
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1,runtime,163.38057545026143
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1,success,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1,llm_code_eval,"""[false, false, false, false, false, false, false, false]"""
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1,total_token_usage_pipeline,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-1,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-1,success,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-2,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-2,success,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-3,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-3,success,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-4,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-4,f1_approximate,0.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-5,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-5,f1,0.5511942951717375
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-5,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-5,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-6,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-6,success,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-7,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-7,success,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-7,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-8,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-8,success,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-1-8,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2,runtime,164.96622660954793
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2,bleu,1.717427964450093e-78
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2,rouge,0.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2,llm_paraphrase,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2,total_token_usage_answers,496
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2,llm_code_eval,"""[false, false, false, false, false, false, false, false, false]"""
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2,total_token_usage_pipeline,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-1,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-1,f1,0.43432042520880787
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-1,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-1,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-2,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-2,bleu,4.7269475875723235e-155
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-2,rouge,0.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-2,llm_paraphrase,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-2,total_token_usage_answers,488
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-3,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-3,success,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-4,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-4,f1,0.5606796116504854
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-4,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-4,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-5,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-5,f1_approximate,0.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-6,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-6,f1,0.5511942951717375
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-6,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-6,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-6,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-7,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-7,success,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-7,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-8,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-8,f1,0.07323866490114607
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-8,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-8,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-8,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-9,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-9,success,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-hard-2-9,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3,runtime,26.2954118569692
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3,mean_absolute_error,
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3,mean_squared_error,
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3,mean_relative_absolute_error,9999.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3,rae_score,9999.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3,llm_code_eval,"""[false, false, false, false, true, true]"""
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3,total_token_usage_pipeline,1451
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-1,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-1,f1,0.1880559085133418
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-1,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-1,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-2,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-2,success,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-3,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-3,success,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-4,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-4,f1,0.48517520215633425
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-4,precision,0.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-4,recall,0.0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-5,runtime,0
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-5,f1,0.06644518272425248
BaselineLLMSystemLlama3_3InstructFewShot,legal.json,legal-easy-3-5,precision,0.0
