sut,workload,task_id,metric,value
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1,runtime,40.11875100930532
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1,success,0
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1,llm_code_eval,"""[true, false, false, false, false, true, true]"""
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1,total_token_usage_pipeline,1337
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1-1,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1-1,f1,0.19461805555555559
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1-1,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1-1,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1-2,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1-2,f1,0.05453306066802999
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1-2,precision,0.13636363636363635
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1-2,recall,0.6
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1-3,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1-3,f1,0.06458152942915674
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1-3,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1-3,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,archeology.json,archeology-hard-1-3,total_token_usage_answers,0
