sut,workload,task_id,metric,value
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1,runtime,79.93377029895782
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1,success,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1,llm_code_eval,"""[true, false, false, true]"""
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1,total_token_usage_pipeline,1382
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1-1,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1-1,success,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1-2,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1-2,f1,0.3026315789473684
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1-2,precision,1.0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1-2,recall,1.0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1-3,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1-3,f1_approximate,0.0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1-4,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1-4,f1_approximate,0.0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1-5,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1-5,success,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2,runtime,77.49921572208405
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2,success,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2,llm_code_eval,"""[true, false, false, false]"""
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2,total_token_usage_pipeline,1064
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2-1,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2-1,f1,0.23448275862068965
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2-1,precision,0.6
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2-1,recall,1.0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2-2,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2-2,success,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2-3,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2-3,success,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2-4,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2-4,success,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3,runtime,93.90202844142914
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3,success,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3,llm_code_eval,"""[false, false, false, false, false, false]"""
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3,total_token_usage_pipeline,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-1,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-1,success,1
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-2,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-2,f1,0.27367748319795493
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-2,precision,0.16666666666666666
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-2,recall,0.0013550135501355014
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-3,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-3,f1,0.13358743143999255
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-3,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-3,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-4,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-4,f1,0.09317658465640527
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-4,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-4,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-5,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-5,f1_approximate,0.0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-6,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-6,success,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-3-6,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4,runtime,74.4882470369339
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4,bleu,0.05070588135330874
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4,rouge,0.044444444444444446
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4,llm_paraphrase,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4,total_token_usage_answers,587
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4,llm_code_eval,"""[false, true, true, true, true]"""
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4,total_token_usage_pipeline,1386
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-1,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-1,success,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-2,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-2,success,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-3,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-3,f1,0.0434997528423134
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-3,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-3,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-3,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-3,f1,0.0425531914893617
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-3,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-3,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-4,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-4,success,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-4-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-5,runtime,82.1506816148758
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-5,success,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-5,llm_code_eval,"""[true, true, false, false]"""
BaselineLLMSystemLlama3_3InstructNaive,astronomy.json,astronomy-easy-5,total_token_usage_pipeline,1044
