sut,workload,task_id,metric,value
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1,runtime,25.687496745586394
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1,success,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1,llm_code_eval,"""[true, false, true, true]"""
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1,total_token_usage_pipeline,800
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1-1,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1-1,bleu,1.0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1-1,rouge,1.0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1-1,llm_paraphrase,1
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1-1,total_token_usage_answers,492
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1-2,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1-2,success,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1-3,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1-3,success,1
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1-4,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1-4,success,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2,runtime,27.12291439771652
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2,f1,0.04469273743016759
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2,llm_code_eval,"""[true, false, false, false, false, false, true]"""
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2,total_token_usage_pipeline,1052
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-1,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-1,f1,0.21036750950455615
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-1,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-1,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-2,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-2,success,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-3,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-3,success,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-4,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-4,f1_approximate,0.0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-5,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-5,f1,0.05442176870748299
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-5,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-5,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-6,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-6,success,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-6,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-7,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-7,f1,0.04419889502762431
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-7,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-7,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-2-7,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-3,runtime,35.650145614147185
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-3,success,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-3,llm_code_eval,"""[true, false, false, false, false]"""
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-3,total_token_usage_pipeline,1274
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-3-1,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-3-1,f1,0.21045665122435472
BaselineLLMSystemLlama3_3InstructNaive,environment.json,environment-easy-3-1,precision,0.0
