sut,workload,task_id,metric,value
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1,runtime,43.04488842487335
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1,success,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1,llm_code_eval,"""[true, true, false, true, false, false, true, true]"""
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1,total_token_usage_pipeline,1920
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-1,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-1,success,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-2,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-2,success,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-3,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-3,success,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-4,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-4,f1_approximate,0.0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-5,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-5,f1,0.22488235863918388
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-5,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-5,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-6,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-6,success,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-7,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-7,success,0
BaselineLLMSystemLlama3_3InstructNaive,legal.json,legal-hard-1-7,total_token_usage_answers,0
