sut,workload,task_id,metric,value
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1,runtime,26.592653637840634
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1,success,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1,total_token_usage_pipeline,1233
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-1,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-1,success,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-2,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-2,f1,0.055442962019581064
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-2,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-2,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-3,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-3,f1,0.05519075244030169
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-3,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-3,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-4,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-4,f1,0.06551237085588231
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-4,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-4,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-5,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-5,success,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2,runtime,17.017874365761166
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2,success,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2,llm_code_eval,"""[true, false, false, false, false, false]"""
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2,total_token_usage_pipeline,957
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-1,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-1,f1,0.16580310880829016
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-1,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-1,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-2,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-2,success,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-3,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-3,success,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-4,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-4,f1,0.2280696615060126
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-4,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-4,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-5,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-5,success,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-6,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-6,success,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-2-6,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3,runtime,23.710655098869687
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3,f1,0.12838263058527377
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3,llm_code_eval,"""[true, false, false, true, true]"""
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3,total_token_usage_pipeline,978
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-1,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-1,f1,0.16580310880829016
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-1,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-1,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-2,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-2,success,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-3,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-3,success,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-4,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-4,f1,0.2185822656301407
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-4,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-4,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-5,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-5,f1,0.12702366127023662
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-5,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-5,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-3-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4,runtime,32.50346291632879
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4,success,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4,llm_code_eval,"""[false, false, true, true, true, true]"""
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4,total_token_usage_pipeline,1458
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-1,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-1,f1,0.18641704839673373
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-1,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-1,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-2,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-2,f1,0.26020519537218945
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-2,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-2,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-3,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-3,f1,0.04444444444444444
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-3,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-3,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-4,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-4,f1,0.06478432219402905
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-4,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-4,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-5,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-5,success,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-6,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-6,success,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-4-6,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5,runtime,34.92857707114447
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5,success,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5,llm_code_eval,"""[false, false, false, false, true, false, true]"""
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5,total_token_usage_pipeline,1017
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-1,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-1,f1,0.011560693641618497
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-1,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-1,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-2,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-2,success,1
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-3,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-3,f1,0.05387608500448968
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-3,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-3,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-4,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-4,f1,0.06642921060481112
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-4,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-4,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-5,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-5,f1,0.05421060448537056
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-5,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-5,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-6,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-6,f1,0.07657881650919941
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-6,precision,0.045454545454545456
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-6,recall,0.04
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-6,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-7,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-7,success,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-5-7,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6,runtime,39.19621289344061
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6,mean_absolute_error,
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6,mean_squared_error,
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6,mean_relative_absolute_error,9999.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6,rae_score,9999.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6,llm_code_eval,"""[true, false, true, false, true]"""
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6,total_token_usage_pipeline,1160
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-1,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-1,f1,0.2053966975432944
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-1,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-1,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-2,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-2,f1,0.053701804139262656
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-2,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-2,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-3,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-3,f1,0.05454868865743028
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-3,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-3,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-4,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-4,f1,0.0760603379087523
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-4,precision,0.045454545454545456
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-4,recall,0.013333333333333334
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-5,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-5,mean_absolute_error,
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-5,mean_squared_error,
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-5,mean_relative_absolute_error,9999.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-5,rae_score,9999.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-6-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7,runtime,13.3006972131275
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7,bleu,2.8632182988109673e-155
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7,rouge,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7,llm_paraphrase,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7,total_token_usage_answers,537
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7,llm_code_eval,"""[false, false, true, true, true]"""
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7,total_token_usage_pipeline,1105
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7-1,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7-1,f1,0.19663216979477283
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7-1,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7-1,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7-2,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7-2,f1,0.05400795906765207
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7-2,precision,0.045454545454545456
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7-2,recall,0.010638297872340425
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7-4,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7-4,f1,0.08578584846587352
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7-4,precision,0.045454545454545456
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7-4,recall,0.020833333333333332
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7-5,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7-5,success,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-hard-7-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8,runtime,14.958727246239071
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8,success,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8,llm_code_eval,"""[false, false, false, false, false, false, false, false, false]"""
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8,total_token_usage_pipeline,990
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8-1,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8-1,success,1
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8-2,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8-2,f1,0.06582362932040979
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8-2,precision,0.18181818181818182
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8-2,recall,0.00030039050765995795
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8-3,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8-3,f1,0.0898109243697479
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8-3,precision,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8-3,recall,0.0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8-4,runtime,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8-4,success,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-8-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-9,runtime,13.365832453682309
BaselineLLMSystemLlama3_3InstructNaive,wildfire.json,wildfire-easy-9,mean_absolute_error,
