sut,workload,task_id,metric,value
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1,runtime,32.8459677696228
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1,success,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1,llm_code_eval,"""[true, false, false, false, true, true, true]"""
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1,total_token_usage_pipeline,1346
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-1,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-1,f1,0.19264478432720397
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-1,precision,0.0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-1,recall,0.0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-2,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-2,f1,0.00036668092648047424
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-2,precision,0.0005977286312014345
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-2,recall,1.0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-3,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-3,f1,0.06389380284436769
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-3,precision,0.0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-3,recall,0.0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-4,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-4,f1,0.07488122813245297
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-4,precision,0.0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-4,recall,0.0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-5,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-5,f1,0.05376344086021505
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-5,precision,0.0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-5,recall,0.0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-6,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-6,f1,0.07376783611077985
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-6,precision,0.045454545454545456
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-6,recall,0.00014164305949008498
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-7,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-7,success,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-1-7,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2,runtime,57.39306116104126
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2,success,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2,llm_code_eval,"""[true, false, false, false, false, true]"""
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2,total_token_usage_pipeline,1248
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2-1,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2-1,f1,0.19264478432720397
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2-1,precision,0.0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2-1,recall,0.0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2-2,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2-2,f1,0.043343653250773995
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2-2,precision,0.09090909090909091
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2-2,recall,0.4
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2-3,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2-3,f1,0.053568306717036204
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2-3,precision,0.0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2-3,recall,0.0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2-4,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2-4,f1,0.06435170120553105
BaselineLLMSystemLlama3_3InstructOneShot,archeology.json,archeology-hard-2-4,precision,0.0
