sut,workload,task_id,metric,value
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1,runtime,114.19480138354831
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1,success,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1,total_token_usage_pipeline,1182
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-1,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-1,f1,0.125
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-1,precision,0.13636363636363635
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-1,recall,0.25
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-2,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-2,f1,0.06363955119214586
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-2,precision,0.0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-2,recall,0.0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-3,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-3,f1,0.07488904461574399
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-3,precision,0.13636363636363635
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-3,recall,0.029411764705882353
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-5,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-5,f1,0.08515731874145008
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-5,precision,0.09090909090909091
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-5,recall,0.0196078431372549
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-6,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-6,success,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2,runtime,28.766240888171726
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2,success,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2,llm_code_eval,"""[false, false, false]"""
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2,total_token_usage_pipeline,1013
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2-1,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2-1,f1,0.11522633744855967
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2-1,precision,0.09090909090909091
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2-1,recall,0.3333333333333333
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2-2,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2-2,f1,0.05327442827442828
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2-2,precision,0.0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2-2,recall,0.0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2-3,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2-3,f1,0.054179566563467486
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2-3,precision,0.045454545454545456
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2-3,recall,0.041666666666666664
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2-4,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2-4,success,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3,runtime,48.39733772807651
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3,success,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3,llm_code_eval,"""[false, false, false, false]"""
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3,total_token_usage_pipeline,1314
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3-1,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3-1,f1,0.1145374449339207
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3-1,precision,0.09090909090909091
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3-1,recall,0.16666666666666666
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3-2,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3-2,f1,0.05342551854179762
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3-2,precision,0.0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3-2,recall,0.0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3-3,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3-3,success,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3-3,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3-4,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3-4,success,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-3-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-4,runtime,24.998575263553196
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-4,f1,0.10676156583629894
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-4,precision,0.0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-4,recall,0.0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-4,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-4,llm_code_eval,"""[true, false, false]"""
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-4,total_token_usage_pipeline,1012
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-4-1,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-4-1,success,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-4-1,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-4-2,runtime,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-4-2,f1,0.06414473684210527
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-4-2,precision,0.0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-4-2,recall,0.0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-4-2,total_token_usage_answers,0
BaselineLLMSystemLlama3_3InstructOneShot,biomedical.json,biomedical-hard-4-3,runtime,0
