sut,workload,task_id,metric,value
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1,runtime,679.5626007450951
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1,success,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1,total_token_usage_pipeline,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-1,runtime,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-1,f1,0.11206896551724137
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-1,precision,0.0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-1,recall,0.0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-2,runtime,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-2,f1,0.06500658446067281
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-2,precision,0.0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-2,recall,0.0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-3,runtime,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-3,f1,0.09746322745683225
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-3,precision,0.13636363636363635
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-3,recall,0.029411764705882353
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-5,runtime,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-5,f1,0.1259124087591241
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-5,precision,0.0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-5,recall,0.0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-6,runtime,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-6,success,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-easy-2,runtime,179.25126899613275
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-easy-2,success,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-easy-2,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-easy-2,llm_code_eval,"""[false, false, false, false]"""
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-easy-2,total_token_usage_pipeline,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-easy-2-1,runtime,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-easy-2-1,f1,0.08955223880597014
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-easy-2-1,precision,0.0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-easy-2-1,recall,0.0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-easy-2-2,runtime,0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-easy-2-2,f1,0.05443441317047265
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-easy-2-2,precision,0.0
BaselineLLMSystemQwen2_5CoderFewShot,biomedical.json,biomedical-easy-2-2,recall,0.0
