sut,workload,task_id,metric,value
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1,runtime,118.01259062687556
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1,success,0
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1,llm_code_eval,"""[true, true, false, false, true, false]"""
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1,total_token_usage_pipeline,1350
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-1,runtime,0
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-1,f1,0.18789144050104387
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-1,precision,0.0
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-1,recall,0.0
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-2,runtime,0
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-2,f1,0.0448
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-2,precision,0.13636363636363635
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-2,recall,0.6
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-3,runtime,0
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-3,f1,0.07681455473986594
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-3,precision,0.0
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-3,recall,0.0
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-4,runtime,0
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-4,f1,0.07801137747697003
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-4,precision,0.0
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-4,recall,0.0
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-4,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderNaive,archeology.json,archeology-hard-1-5,runtime,0
