sut,workload,task_id,metric,value
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1,runtime,29.40654135942459
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1,success,0
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1,llm_code_eval,"""[true, false, true, true]"""
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1,total_token_usage_pipeline,971
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1-1,runtime,0
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1-1,bleu,1.3353264507512763e-78
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1-1,rouge,0.0
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1-1,llm_paraphrase,0
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1-1,total_token_usage_answers,539
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1-2,runtime,0
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1-2,success,0
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1-3,runtime,0
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1-3,success,0
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1-4,runtime,0
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1-4,success,0
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-2,runtime,39.48948098421097
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-2,f1,0.04566378199226662
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-2,precision,0.0
BaselineLLMSystemQwen2_5CoderNaive,environment.json,environment-easy-2,recall,0.0
