sut,workload,task_id,metric,value
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1,runtime,123.66100521882375
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1,success,0
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1,llm_code_eval,"""[true, true, false, false, false, true, true]"""
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1,total_token_usage_pipeline,1507
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-1,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-1,f1,0.19663216979477283
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-1,precision,0.0
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-1,recall,0.0
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-2,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-2,f1,0.04430379746835443
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-2,precision,0.13636363636363635
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-2,recall,0.6
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-3,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-3,f1,0.03635824938626936
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-3,precision,0.0
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-3,recall,0.0
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-4,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-4,f1,0.0771515632309489
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-4,precision,0.0
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-4,recall,0.0
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-4,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-5,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-5,f1,0.05494505494505494
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-5,precision,0.0
BaselineLLMSystemQwen2_5CoderOneShot,archeology.json,archeology-hard-1-5,recall,0.0
