sut,workload,task_id,metric,value
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1,runtime,112.77655715412564
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1,success,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1,llm_code_eval,"""[false, false, false, false, false]"""
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1,total_token_usage_pipeline,1135
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-1,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-1,f1,0.11206896551724137
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-1,precision,0.0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-1,recall,0.0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-2,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-2,f1,0.06500658446067281
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-2,precision,0.0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-2,recall,0.0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-2,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-3,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-3,f1,0.08698803914461761
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-3,precision,0.13636363636363635
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-3,recall,0.029411764705882353
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-3,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-5,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-5,f1,0.07649383864217625
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-5,precision,0.09090909090909091
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-5,recall,0.0196078431372549
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-5,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-6,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-6,success,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-1-6,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2,runtime,28.79171413845486
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2,success,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2,llm_code_eval,"""[true, false, true, true]"""
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2,total_token_usage_pipeline,1002
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2-1,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2-1,f1,0.10748407643312102
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2-1,precision,0.09090909090909091
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2-1,recall,0.3333333333333333
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2-2,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2-2,f1,0.05443441317047265
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2-2,precision,0.0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2-2,recall,0.0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2-3,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2-3,f1,0.06615532118887824
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2-3,precision,0.045454545454545456
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2-3,recall,0.041666666666666664
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2-4,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2-4,success,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-3,runtime,30.76011104053921
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-3,success,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-3,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-3,llm_code_eval,"""[false, false, false, false]"""
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-3,total_token_usage_pipeline,1224
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-3-1,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-3-1,f1,0.11697341513292434
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-3-1,precision,0.09090909090909091
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-3-1,recall,0.16666666666666666
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-3-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-3-2,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-3-2,f1,0.06494451519010369
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-3-2,precision,0.0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-3-2,recall,0.0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-3-2,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-3-3,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,biomedical.json,biomedical-hard-3-3,success,0
