sut,workload,task_id,metric,value
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1,runtime,28.73980799175444
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1,success,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1,llm_code_eval,"""[false, true, false, false, false]"""
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1,total_token_usage_pipeline,1108
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-1,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-1,success,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-2,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-2,f1,0.05605004357027262
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-2,precision,0.0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-2,recall,0.0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-3,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-3,f1,0.06648836636148714
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-3,precision,0.0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-3,recall,0.0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-4,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-4,f1,0.06616622246130524
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-4,precision,0.0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-4,recall,0.0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-5,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-5,success,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2,runtime,165.05544534183684
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2,success,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2,llm_code_eval,"""[false, false, false, false, false, false]"""
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2,total_token_usage_pipeline,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-1,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-1,f1,0.39867109634551495
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-1,precision,0.0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-1,recall,0.0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-2,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-2,success,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-3,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-3,success,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-4,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-4,f1,0.5254925108831993
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-4,precision,0.0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-4,recall,0.0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-5,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-5,success,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-5,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-6,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-6,success,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-2-6,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-3,runtime,169.24300828434173
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-3,f1,0.392156862745098
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-3,precision,0.0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-3,recall,0.0
BaselineLLMSystemQwen2_5CoderOneShot,wildfire.json,wildfire-easy-3,total_token_usage_answers,0
